-2.2701f,	-0.200100000000001f,	2.77629999999999f,
-2.0733f,	-0.3149f,	3.1934f,
-1.8883f,	-0.4146f,	3.5684f,
-1.7152f,	-0.4992f,	3.9015f,
-1.554f,	-0.5684f,	4.19250000000002f,
-1.4046f,	-0.622499999999999f,	4.44149999999999f,
-1.2671f,	-0.6616f,	4.64829999999999f,
-1.1415f,	-0.685300000000002f,	4.81310000000001f,
-1.0277f,	-0.693899999999999f,	4.9359f,
-0.925800000000002f,	-0.6874f,	5.0167f,
-0.835799999999999f,	-0.6656f,	5.0553f,
-0.757600000000004f,	-0.6287f,	5.05199999999999f,
-0.691299999999998f,	-0.5766f,	5.00660000000001f,
-0.636899999999997f,	-0.5093f,	4.9191f,
-0.594300000000004f,	-0.426900000000001f,	4.78959999999999f,
-0.563499999999998f,	-0.329199999999999f,	4.61799999999999f,
-0.544699999999999f,	-0.2165f,	4.40440000000001f,
-0.537800000000004f,	-0.0884f,	4.14879999999999f,
-0.5426f,	0.0546999999999995f,	3.8511f,
-0.5593f,	0.213f,	3.5113f,
-0.518499999999996f,	0.411f,	3.25f,
-0.417400000000001f,	0.6226f,	3.102f,
-0.324100000000001f,	0.81f,	2.964f,
-0.238500000000002f,	0.9735f,	2.8363f,
-0.160799999999995f,	1.1129f,	2.7185f,
-0.0907000000000053f,	1.2283f,	2.6108f,
-0.0285000000000011f,	1.3195f,	2.5133f,
0.0259f,	1.3869f,	2.4258f,
0.0726000000000013f,	1.43f,	2.3484f,
0.111499999999999f,	1.4493f,	2.2812f,
0.142600000000002f,	1.4444f,	2.224f,
0.165900000000001f,	1.4155f,	2.1769f,
0.1815f,	1.3626f,	2.1399f,
0.1892f,	1.2856f,	2.113f,
0.189300000000003f,	1.1845f,	2.0963f,
0.1815f,	1.0595f,	2.0895f,
0.165900000000001f,	0.910399999999999f,	2.0929f,
0.142599999999995f,	0.737200000000001f,	2.1064f,
0.111500000000007f,	0.540099999999999f,	2.1299f,
0.0725999999999942f,	0.3188f,	2.1637f,
0.0259f,	0.0735000000000028f,	2.2074f,
-0.0244999999999962f,	-0.190000000000001f,	2.2213f,
-0.0686000000000035f,	-0.439399999999999f,	2.1992f,
-0.105399999999996f,	-0.664000000000001f,	2.1779f,
-0.134800000000006f,	-0.863900000000001f,	2.1577f,
-0.156799999999997f,	-1.0391f,	2.1381f,
-0.171500000000002f,	-1.1895f,	2.1196f,
-0.178899999999999f,	-1.3153f,	2.1019f,
-0.178899999999999f,	-1.4163f,	2.0851f,
-0.171500000000002f,	-1.4926f,	2.0692f,
-0.156799999999997f,	-1.5442f,	2.0542f,
-0.134799999999998f,	-1.5711f,	2.04f,
-0.105400000000003f,	-1.5732f,	2.0268f,
-0.0686000000000035f,	-1.5506f,	2.0143f,
-0.0244999999999962f,	-1.5034f,	2.0029f,
0.027000000000001f,	-1.4313f,	1.9923f,
0.0856999999999957f,	-1.3346f,	1.9826f,
0.152000000000001f,	-1.2132f,	1.9737f,
0.2254f,	-1.067f,	1.9658f,
0.3063f,	-0.896100000000001f,	1.9587f,
0.394500000000001f,	-0.7006f,	1.9525f,
0.490099999999998f,	-0.4802f,	1.9473f,
0.527100000000004f,	-0.2736f,	1.924f,
